,market,funding_total_usd,region,city,funding_rounds,Founding_year,first_funding_year,last_funding_year,first_funding_gap,last_funding_gap,first_last_funding_gap,success
2184,79,28300000.0,131,468,2,0.0,2006.0,2007,0.0,0.0,1.0,1
2195,29,113427869.0,137,567,5,2000.0,2009.0,2012,9.0,12.0,3.0,1
2206,309,0.0,93,198,1,1984.0,2010.0,2010,26.0,26.0,0.0,1
2220,198,15177722.0,127,540,3,1995.0,2011.0,2014,16.0,19.0,3.0,0
2235,154,3740000.0,59,620,2,2009.0,2009.0,2014,0.0,5.0,5.0,0
2238,47,250000.0,161,697,1,0.0,2008.0,2008,0.0,0.0,0.0,0
2255,154,10000000.0,68,307,1,2000.0,2013.0,2013,13.0,13.0,0.0,0
2290,29,1549997.0,38,37,4,2009.0,2010.0,2014,1.0,5.0,4.0,0
2291,79,3900000.0,104,358,2,2011.0,2007.0,2009,-4.0,-2.0,2.0,1
2302,309,16000000.0,131,573,1,2010.0,2006.0,2006,-4.0,-4.0,0.0,0
2312,1,72000000.0,131,530,6,2005.0,2006.0,2011,1.0,6.0,5.0,1
2316,29,1025000.0,105,11,2,0.0,2010.0,2011,0.0,0.0,1.0,1
2337,29,9140433.0,150,645,2,1989.0,2009.0,2010,20.0,21.0,1.0,0
2338,204,20000000.0,159,544,1,0.0,2006.0,2006,0.0,0.0,0.0,1
2341,29,30990999.0,125,536,3,1989.0,2013.0,2013,24.0,24.0,0.0,0
2360,63,5000000.0,112,69,1,1972.0,2005.0,2005,33.0,33.0,0.0,0
2364,29,1700000.0,159,544,1,0.0,2007.0,2007,0.0,0.0,0.0,0
2373,327,0.0,36,535,1,1982.0,1995.0,1995,13.0,13.0,0.0,1
2381,63,7500000.0,137,567,1,2068.0,2009.0,2009,-59.0,-59.0,0.0,1
2384,29,17500000.0,137,567,1,0.0,2009.0,2009,0.0,0.0,0.0,0
2391,363,22600000.0,131,624,2,2004.0,2005.0,2008,1.0,4.0,3.0,0
2402,171,5550000.0,137,567,3,2010.0,2010.0,2012,0.0,2.0,2.0,1
2404,29,24300000.0,137,321,3,2008.0,2008.0,2009,0.0,1.0,1.0,0
2411,29,12600000.0,104,449,2,0.0,2013.0,2014,0.0,0.0,1.0,0
2418,289,10000000.0,131,101,2,2001.0,2003.0,2007,2.0,6.0,4.0,1
2420,1,6000000.0,131,432,2,2007.0,2007.0,2007,0.0,0.0,0.0,0
2436,126,9350000.0,122,517,2,2000.0,2008.0,2010,8.0,10.0,2.0,1
2438,29,75000000.0,128,541,1,2006.0,2013.0,2013,7.0,7.0,0.0,1
2440,289,18000000.0,117,634,1,1996.0,2007.0,2007,11.0,11.0,0.0,0
2452,29,400000.0,72,295,1,2008.0,2011.0,2011,3.0,3.0,0.0,0
2491,29,42000000.0,131,242,2,2003.0,2007.0,2011,4.0,8.0,4.0,1
2500,309,225000.0,131,486,1,2007.0,2007.0,2007,0.0,0.0,0.0,1
2513,309,250000.0,131,569,1,0.0,2007.0,2007,0.0,0.0,0.0,0
2524,309,31828793.0,131,580,3,2008.0,2008.0,2010,0.0,2.0,2.0,1
2541,115,5600000.0,9,13,1,0.0,2006.0,2006,0.0,0.0,0.0,1
2549,235,200000.0,49,105,1,2010.0,2010.0,2010,0.0,0.0,0.0,0
2551,115,2000000.0,11,38,1,0.0,2010.0,2010,0.0,0.0,0.0,0
2552,148,1386789.0,110,479,2,1996.0,2009.0,2009,13.0,13.0,0.0,0
2553,210,1250016.0,142,616,1,1996.0,2014.0,2014,18.0,18.0,0.0,0
2557,115,6000000.0,138,579,1,2013.0,2013.0,2013,0.0,0.0,0.0,0
2563,301,0.0,104,449,1,0.0,2006.0,2006,0.0,0.0,0.0,1
2564,167,384410000.0,144,557,9,1999.0,1999.0,2014,0.0,15.0,15.0,1
2584,146,4800000.0,101,238,1,2004.0,2012.0,2012,8.0,8.0,0.0,0
2587,273,0.0,116,493,1,2008.0,2008.0,2008,0.0,0.0,0.0,0
2596,309,28306508.0,9,188,4,1979.0,2010.0,2011,31.0,32.0,1.0,0
2623,171,3200000.0,116,376,1,2006.0,2009.0,2009,3.0,3.0,0.0,1
2624,309,59000000.0,159,186,3,2000.0,2000.0,2007,0.0,7.0,7.0,1
2637,146,4041700.0,110,479,2,2004.0,2011.0,2012,7.0,8.0,1.0,0
2644,29,5800000.0,131,530,1,0.0,2006.0,2006,0.0,0.0,0.0,1
2670,145,5820307.0,137,660,1,1999.0,2012.0,2012,13.0,13.0,0.0,1
2674,210,160279779.0,131,413,15,1999.0,1999.0,2010,0.0,11.0,11.0,1
2691,29,43500000.0,131,398,4,2001.0,2003.0,2009,2.0,8.0,6.0,0
2698,309,2900000.0,159,670,2,2012.0,2012.0,2013,0.0,1.0,1.0,1
2699,1,4580000.0,131,530,1,0.0,2010.0,2010,0.0,0.0,0.0,0
2703,115,22579243.0,112,69,8,2003.0,2008.0,2014,5.0,11.0,6.0,0
2708,146,44000000.0,93,559,3,2006.0,2009.0,2012,3.0,6.0,3.0,0
2714,102,70000.0,65,15,3,2004.0,2012.0,2013,8.0,9.0,1.0,0
2723,29,4513712.0,59,265,3,2010.0,2011.0,2013,1.0,3.0,2.0,0
2749,153,6000000.0,159,534,1,0.0,2008.0,2008,0.0,0.0,0.0,1
2751,115,9600000.0,140,593,2,2007.0,2009.0,2012,2.0,5.0,3.0,0
2762,115,4000000.0,131,569,1,2007.0,2010.0,2010,3.0,3.0,0.0,1
2764,309,11500000.0,11,38,2,2010.0,2010.0,2011,0.0,1.0,1.0,0
2782,275,120000.0,140,593,3,2012.0,2012.0,2013,0.0,1.0,1.0,1
2789,115,9900000.0,120,512,3,2010.0,2010.0,2011,0.0,1.0,1.0,1
2799,1,44250000.0,123,189,8,2008.0,2008.0,2013,0.0,5.0,5.0,1
2817,79,715000.0,131,569,3,2007.0,2007.0,2009,0.0,2.0,2.0,1
2835,309,10000000.0,104,449,1,2001.0,2006.0,2006,5.0,5.0,0.0,1
2847,145,1358979.0,118,499,3,2003.0,2006.0,2012,3.0,9.0,6.0,0
2856,198,49770145.0,131,580,5,2007.0,2007.0,2012,0.0,5.0,5.0,0
2866,115,4000000.0,30,139,1,1998.0,2005.0,2005,7.0,7.0,0.0,1
2887,79,800000.0,9,34,1,2009.0,2009.0,2009,0.0,0.0,0.0,1
2897,102,800000.0,131,624,1,2007.0,2007.0,2007,0.0,0.0,0.0,0
2903,115,54950000.0,159,534,8,0.0,2002.0,2009,0.0,0.0,7.0,1
2907,137,40000.0,105,527,1,2009.0,2010.0,2010,1.0,1.0,0.0,0
2914,309,7000000.0,22,240,2,2006.0,2007.0,2009,1.0,3.0,2.0,0
2928,8,28000.0,131,569,1,0.0,2013.0,2013,0.0,0.0,0.0,1
2935,210,1155000.0,131,569,2,2010.0,2010.0,2011,0.0,1.0,1.0,1
2940,1,30240000.0,131,486,3,2001.0,2007.0,2010,6.0,9.0,3.0,1
2950,264,23660962.0,36,535,2,2002.0,2007.0,2009,5.0,7.0,2.0,1
2954,328,6250000.0,131,569,2,2012.0,2012.0,2013,0.0,1.0,1.0,1
2971,105,15000000.0,159,186,1,0.0,2008.0,2008,0.0,0.0,0.0,0
2975,115,14500000.0,66,296,1,1998.0,2005.0,2005,7.0,7.0,0.0,1
2993,29,32000000.0,131,94,1,0.0,2008.0,2008,0.0,0.0,0.0,0
2997,29,170466.0,105,85,1,0.0,2011.0,2011,0.0,0.0,0.0,1
